camera_id,direction,camera_name,camera_abbrev,image_id,long,lat,elevation,geometry.type,geometry.coordinates,x_resolution,y_resolution,center_lat,center_long,center_angle,properties.description.url,intersections
hpwren0_unknown direction,unknown direction,,tje,tje-1-mobo-c,-117.12,32.55,10.0,Point,"[-117.12, 32.55, 10]",,,,,,http://hpwren.ucsd.edu/cameras/TJE.html,
hpwren1_north,north,Big Black Mountain,bm,bm-n-mobo-c,-116.8080915,33.15992729,4055.0,Point,"[-116.8081, 33.1599, 4055]",3072.0,2048.0,33.18159879,-116.8075536,-0.024815521800949737,http://hpwren.ucsd.edu/cameras/BBlackMtn.html,"[('bl', 'north'), ('bl', 'east'), ('bh', 'north'), ('bh', 'east'), ('bh', 'south'), ('bh', 'west'), ('cp', 'north'), ('hp', 'north'), ('hp', 'east'), ('hp', 'south'), ('hp', 'west'), ('mg', 'north'), ('mg', 'west'), ('wc', 'north'), ('wc', 'east'), ('rm', 'east'), ('vo', 'north'), ('vo', 'west'), ('sojr', 'north'), ('sojr', 'east'), ('sojr', 'south'), ('sojr', 'west'), ('tp', 'west'), ('ch', 'north'), ('ch', 'east'), ('rdd', 'north'), ('rdd', 'east')]"
hpwren1_east,east,Big Black Mountain,bm,bm-e-mobo-c,-116.8080915,33.15992729,4055.0,Point,"[-116.8081, 33.1599, 4055]",3072.0,2048.0,33.15878106,-116.7902298,-0.06408463038439163,http://hpwren.ucsd.edu/cameras/BBlackMtn.html,"[('bh', 'east'), ('bh', 'south'), ('cp', 'north'), ('cp', 'east'), ('hp', 'east'), ('hp', 'south'), ('pi', 'north'), ('lp', 'north'), ('lp', 'east'), ('mg', 'north'), ('mg', 'east'), ('mg', 'south'), ('mg', 'west'), ('ml', 'north'), ('ml', 'west'), ('mlo', 'north'), ('mlo', 'west'), ('wc', 'east'), ('vo', 'north'), ('vo', 'east'), ('vo', 'south'), ('vo', 'west'), ('sojr', 'east'), ('sojr', 'south'), ('tp', 'south'), ('tp', 'west'), ('ws', 'north')]"
hpwren1_south,south,Big Black Mountain,bm,bm-s-mobo-c,-116.8080915,33.15992729,4055.0,Point,"[-116.8081, 33.1599, 4055]",3072.0,2048.0,33.15793232,-116.8079616,0.06502197135181349,http://hpwren.ucsd.edu/cameras/BBlackMtn.html,"[('bl', 'east'), ('bl', 'south'), ('bh', 'south'), ('cp', 'north'), ('cp', 'east'), ('cp', 'south'), ('cp', 'west'), ('hp', 'south'), ('pi', 'north'), ('pi', 'west'), ('lp', 'north'), ('lp', 'east'), ('lp', 'west'), ('mg', 'south'), ('mg', 'west'), ('ml', 'west'), ('mlo', 'west'), ('sm', 'north'), ('sm', 'east'), ('wc', 'east'), ('wc', 'south'), ('sdsc', 'east'), ('vo', 'south'), ('vo', 'west'), ('sojr', 'south'), ('ch', 'east'), ('ch', 'south'), ('rdd', 'east'), ('rdd', 'south'), ('ws', 'north'), ('ws', 'west')]"
hpwren1_west,west,Big Black Mountain,bm,bm-w-mobo-c,-116.8080915,33.15992729,4055.0,Point,"[-116.8081, 33.1599, 4055]",3072.0,2048.0,33.15909112,-116.8587058,0.01651892729915137,http://hpwren.ucsd.edu/cameras/BBlackMtn.html,"[('bl', 'north'), ('bl', 'east'), ('bl', 'south'), ('bh', 'south'), ('bh', 'west'), ('cp', 'north'), ('cp', 'west'), ('hp', 'south'), ('hp', 'west'), ('lp', 'north'), ('lp', 'west'), ('mg', 'west'), ('sm', 'north'), ('ms', 'north'), ('wc', 'north'), ('wc', 'east'), ('wc', 'south'), ('wc', 'west'), ('rm', 'east'), ('rm', 'south'), ('sdsc', 'east'), ('vo', 'west'), ('sojr', 'south'), ('sojr', 'west'), ('ch', 'north'), ('ch', 'east'), ('ch', 'south'), ('rdd', 'north'), ('rdd', 'east'), ('rdd', 'south')]"
hpwren2_north,north,Black Mountain,bl,bl-n-mobo-c,-117.1164798,32.9814172,1600.0,Point,"[-117.12, 32.98, 1600]",2048.0,1536.0,32.98178813,-117.1165201,0.10822135628142512,http://hpwren.ucsd.edu/cameras/BL.html,"[('bm', 'north'), ('bm', 'west'), ('bh', 'east'), ('bh', 'south'), ('bh', 'west'), ('cp', 'north'), ('cp', 'west'), ('hp', 'south'), ('hp', 'west'), ('mg', 'west'), ('ms', 'north'), ('wc', 'north'), ('wc', 'west'), ('rm', 'east'), ('rm', 'south'), ('rm', 'west'), ('sclm', 'east'), ('sdsc', 'east'), ('sjh', 'east'), ('sjh', 'south'), ('vo', 'west'), ('sojr', 'west'), ('marconi', 'east'), ('marconi', 'south'), ('buff', 'east'), ('buff', 'south'), ('ch', 'north'), ('ch', 'east'), ('ch', 'south'), ('ch', 'west'), ('rdd', 'north'), ('rdd', 'east'), ('rdd', 'south'), ('rdd', 'west')]"
hpwren2_east,east,Black Mountain,bl,bl-e-mobo-c,-117.1164798,32.9814172,1600.0,Point,"[-117.12, 32.98, 1600]",2048.0,1536.0,32.98199379,-117.1111495,0.10775317038960644,http://hpwren.ucsd.edu/cameras/BL.html,"[('bm', 'north'), ('bm', 'south'), ('bm', 'west'), ('bh', 'east'), ('bh', 'south'), ('cp', 'north'), ('cp', 'south'), ('cp', 'west'), ('hp', 'south'), ('pi', 'north'), ('pi', 'west'), ('lp', 'north'), ('lp', 'west'), ('mg', 'south'), ('mg', 'west'), ('sm', 'north'), ('sm', 'east'), ('ms', 'north'), ('wc', 'north'), ('wc', 'east'), ('wc', 'south'), ('wc', 'west'), ('om', 'north'), ('rm', 'east'), ('rm', 'south'), ('sdsc', 'east'), ('vo', 'south'), ('vo', 'west'), ('sojr', 'south'), ('sojr', 'west'), ('ch', 'east'), ('ch', 'south'), ('rdd', 'east'), ('rdd', 'south')]"
hpwren2_south,south,Black Mountain,bl,bl-s-mobo-c,-117.1164798,32.9814172,1600.0,Point,"[-117.12, 32.98, 1600]",2048.0,1536.0,32.98104323,-117.1163188,0.4065333019478517,http://hpwren.ucsd.edu/cameras/BL.html,"[('bm', 'south'), ('bm', 'west'), ('cp', 'south'), ('cp', 'west'), ('pi', 'west'), ('lp', 'west'), ('sm', 'north'), ('sm', 'east'), ('sm', 'west'), ('ms', 'north'), ('wc', 'south'), ('wc', 'west'), ('om', 'north'), ('om', 'west'), ('sdsc', 'east'), ('ch', 'south'), ('rdd', 'south')]"
hpwren2_west,west,Black Mountain,bl,bl-w-mobo-c,-117.1164798,32.9814172,1600.0,Point,"[-117.12, 32.98, 1600]",2048.0,1536.0,32.97973512,-117.1274554,0.15207307545116303,http://hpwren.ucsd.edu/cameras/BL.html,"[('bh', 'south'), ('bh', 'west'), ('sm', 'north'), ('sm', 'west'), ('ms', 'north'), ('wc', 'west'), ('rm', 'south'), ('rm', 'west'), ('sclm', 'east'), ('sclm', 'south'), ('sdsc', 'east'), ('sjh', 'south'), ('marconi', 'south'), ('buff', 'south'), ('ch', 'south'), ('ch', 'west'), ('rdd', 'south'), ('rdd', 'west')]"
hpwren3_north,north,Boucher Hill,bh,bh-n-mobo-c,-116.9193284,33.33462774,5500.0,Point,"[-116.9198, 33.3346, 5500]",3072.0,2048.0,33.33515112,-116.9193213,-0.013564837252968039,http://hpwren.ucsd.edu/cameras/BH.html,"[('bm', 'north'), ('hp', 'north'), ('hp', 'west'), ('mg', 'north'), ('mg', 'west'), ('rm', 'north'), ('rm', 'east'), ('vo', 'north'), ('vo', 'west'), ('sojr', 'north'), ('sojr', 'west'), ('tp', 'west'), ('buff', 'east'), ('ch', 'north'), ('ch', 'east'), ('rdd', 'north')]"
