camera_id,image_id,camera_name,direction,gmap_lat,gmap_long,elevation,x_resolution,y_resolution
hpwren0_unknown direction,,,,,,,,
hpwren1_north,,,,33.15992729,-116.8080915,,3072,2048
hpwren1_east,,,,33.15992729,-116.8080915,,3072,2048
hpwren1_south,,,,33.15992729,-116.8080915,,3072,2048
hpwren1_west,,,,33.15992729,-116.8080915,,3072,2048
hpwren2_north,,,,32.9814172,-117.1164798,,2048,1536
hpwren2_east,,,,32.9814172,-117.1164798,,2048,1536
hpwren2_south,,,,32.9814172,-117.1164798,,2048,1536
hpwren2_west,,,,32.9814172,-117.1164798,,2048,1536
,buff-n-mobo-c,Buffalo Bump,north,33.42835888,-117.3825282,2896,3072,2048
,buff-e-mobo-c,Buffalo Bump,east,33.42835888,-117.3825282,2896,3072,2048
,buff-s-mobo-c,Buffalo Bump,south,33.42835888,-117.3825282,2896,3072,2048
,buff-w-mobo-c,Buffalo Bump,west,33.42835888,-117.3825282,2896,3072,2048
,ch-n-mobo-c,Coronado Hills,north,33.11062723,-117.1529606,1600,3072,2048
,ch-e-mobo-c,Coronado Hills,east,33.11062723,-117.1529606,1600,3072,2048
,ch-s-mobo-c,Coronado Hills,south,33.11062723,-117.1529606,1600,3072,2048
,ch-w-mobo-c,Coronado Hills,west,33.11062723,-117.1529606,1600,3072,2048
hpwren3_north,,,,33.33462774,-116.9193284,,3072,2048
hpwren3_east,,,,33.33462774,-116.9193284,,3072,2048
hpwren3_south,,,,33.33462774,-116.9193284,,3072,2048
hpwren3_west,,,,33.33462774,-116.9193284,,3072,2048
hpwren5_north,,,,33.913837,-117.738297,,3072,2048
hpwren5_east,,,,33.913837,-117.738297,,3072,2048
hpwren5_south,,,,33.913837,-117.738297,,3072,2048
hpwren5_west,,,,33.913837,-117.738297,,3072,2048
hpwren6_north,,,,32.94646305,-116.6066707,,3072,2048
hpwren6_east,,,,32.94646305,-116.6066707,,3072,2048
hpwren6_south,,,,32.94646305,-116.6066707,,3072,2048
hpwren6_west,,,,32.94646305,-116.6066707,,3072,2048
hpwren7_north,,,,34.08640497,-118.5487598,,3072,2048
hpwren7_east,,,,34.08640497,-118.5487598,,3072,2048
hpwren7_south,,,,34.08640497,-118.5487598,,3072,2048
hpwren7_west,,,,34.08640497,-118.5487598,,3072,2048
hpwren8_north,,,,33.363018,-116.83622,,2048,1536
hpwren8_east,,,,33.363018,-116.83622,,2048,1536
hpwren8_south,,,,33.363018,-116.83622,,2048,1536
hpwren8_west,,,,33.363018,-116.83622,,2048,1536
hpwren9_north,,,,34.07463206,-118.6278559,,3072,2048
hpwren9_east,,,,34.07463206,-118.6278559,,3072,2048
hpwren9_south,,,,34.07463206,-118.6278559,,3072,2048
hpwren9_west,,,,34.07463206,-118.6278559,,3072,2048
hpwren11_north,,,,32.73451582,-116.5776585,,3072,2048
hpwren11_east,,,,32.73451582,-116.5776585,,3072,2048
hpwren11_south,,,,32.73451582,-116.5776585,,3072,2048
hpwren11_west,,,,32.73451582,-116.5776585,,3072,2048
hpwren12_north,,,,32.70151745,-116.7645606,,3072,2048
hpwren12_east,,,,32.70151745,-116.7645606,,3072,2048
hpwren12_south,,,,32.70151745,-116.7645606,,3072,2048
hpwren12_west,,,,32.70151745,-116.7645606,,3072,2048
hpwren13_north,,,,33.18885764,-116.7606591,,3072,2048
hpwren13_east,,,,33.18885764,-116.7606591,,3072,2048
hpwren13_south,,,,33.18885764,-116.7606591,,3072,2048
hpwren13_west,,,,33.18885764,-116.7606591,,3072,2048
hpwren14_north,,,,32.892296,-116.420721,,2048,1536
hpwren14_east,,,,32.892296,-116.420721,,2048,1536
hpwren14_south,,,,32.892296,-116.420721,,2048,1536
hpwren14_west,,,,32.892296,-116.420721,,2048,1536
hpwren15_north,,,,32.83967399,-116.4265161,,3072,2048
hpwren15_east,,,,32.83967399,-116.4265161,,3072,2048
hpwren15_south,,,,32.83967399,-116.4265161,,3072,2048
hpwren15_west,,,,32.83967399,-116.4265161,,3072,2048
hpwren16_north,,,,32.69688501,-116.936262,,3072,2048
hpwren16_east,,,,32.69688501,-116.936262,,3072,2048
hpwren16_south,,,,32.69688501,-116.936262,,3072,2048
hpwren16_west,,,,32.69688501,-116.936262,,3072,2048
hpwren17_north,,,,32.83992291,-117.2485966,,2048,1536
hpwren18_north,wilson-n-mobo-c.html,Mt. Wilson Observatory,north,34.22449951,-118.0586478,5620,3072,2048
hpwren18_east,wilson-e-mobo-c.html,Mt. Wilson Observatory,east,34.22449951,-118.0586478,5620,3072,2048
hpwren18_south,wilson-s-mobo-c.html,Mt. Wilson Observatory,south,34.22449951,-118.0586478,5620,3072,2048
hpwren18_west,wilson-w-mobo-c.html,Mt. Wilson Observatory,west,34.22449951,-118.0586478,5620,3072,2048
hpwren19_north,,,,33.00873795,-116.9709795,,3072,2048
hpwren19_east,,,,33.00873795,-116.9709795,,3072,2048
hpwren19_south,,,,33.00873795,-116.9709795,,3072,2048
hpwren19_west,,,,33.00873795,-116.9709795,,3072,2048
hpwren20_north,,,,32.59476209,-116.8446941,,3072,2048
hpwren20_east,,,,32.59476209,-116.8446941,,3072,2048
hpwren20_south,,,,32.59476209,-116.8446941,,3072,2048
hpwren20_west,,,,32.59476209,-116.8446941,,3072,2048
hpwren21_north,,,,,,,3072,2048
hpwren21_east,,,,,,,3072,2048
hpwren21_south,,,,,,,3072,2048
hpwren21_west,,,,,,,3072,2048
,rdd-n-mobo-c,Rincon Del Diablo,north,33.09383414,-117.1210542,925,3072,2048
,rdd-e-mobo-c,Rincon Del Diablo,east,33.09383414,-117.1210542,925,3072,2048
,rdd-s-mobo-c,Rincon Del Diablo,south,33.09383414,-117.1210542,925,3072,2048
,rdd-w-mobo-c,Rincon Del Diablo,west,33.09383414,-117.1210542,925,3072,2048
hpwren22_north,,,,33.43141853,-117.5973412,,3072,2048
hpwren22_east,,,,33.43141853,-117.5973412,,3072,2048
hpwren22_south,,,,33.43141853,-117.5973412,,3072,2048
hpwren22_west,,,,33.43141853,-117.5973412,,3072,2048
hpwren23_east,,,,32.88444531,-117.239762,,2048,1536
hpwren24_north,,,,33.50294205,-117.6031176,,3072,2048
hpwren24_east,,,,33.50294205,-117.6031176,,3072,2048
hpwren24_south,,,,33.50294205,-117.6031176,,3072,2048
hpwren24_west,,,,33.50294205,-117.6031176,,3072,2048
hpwren25_north,,,,33.13826401,-116.6170953,,3072,2048
hpwren25_east,,,,33.13826401,-116.6170953,,3072,2048
hpwren25_south,,,,33.13826401,-116.6170953,,3072,2048
hpwren25_west,,,,33.13826401,-116.6170953,,3072,2048
