landmark,camera_abbrev,direction,lat,long,x_pixel,y_pixel,x_res,y_res,intersection,distance,tile
white building - southwest,om,south,32.59389193,-116.8459189,2900,1715,3072,2048,0,0.150092689,35
white building - southwest,om,west,32.59389193,-116.8459189,423,1685,3072,2048,0,0.150092689,28
white building - south,om,south,32.59429754,-116.8447736,1780,1930,3072,2048,0,0.052189822,41
communication tower building - east,om,north,32.59548658,-116.8441407,2545,1725,3072,2048,0,0.095799845,34
large bush,om,east,32.59905304,-116.8392543,318,1420,3072,2048,0,0.698102391,18
building 33,om,north,32.600277,-116.8414586,2374,1311,3072,2048,0,0.684047539,24
otay resevoir - north tip,om,west,32.62868,-116.926238,2315,1153,3072,2048,1,8.51818684,24
otay resevoir - north tip,sm,south,32.62868,-116.926238,1410,1250,3072,2048,1,7.641891134,22
john nichols field airport,om,north,32.63507912,-116.8911199,335,1280,3072,2048,0,6.245427529,18
microwave tower - south,ws,south,32.646591,-116.317577,735,1580,3072,2048,0,0.08548426,29
storage silo,ws,west,32.64693624,-116.3198741,1110,1430,3072,2048,0,0.177974348,21
microwave tower - east,ws,east,32.646974,-116.317605,2600,1950,3072,2048,0,0.050205872,43
building - solar panels,ws,west,32.64741564,-116.3205118,1583,1366,3072,2048,0,0.234452789,22
north building,ws,west,32.64840052,-116.319985,2470,1412,3072,2048,0,0.223537048,25
building off road,ws,north,32.65099191,-116.3168757,1947,1192,3072,2048,0,0.427790574,23
crossroads point,ws,north,32.65581858,-116.3205807,1083,1141,3072,2048,0,0.980894916,21
lake morena - southeast tip,pi,south,32.682703,-116.531203,245,1225,3072,2048,0,7.216998041,18
lake morena - southeast tip,pi,east,32.682703,-116.531203,2845,1205,3072,2048,0,7.216998041,26
news communication tower - west,sm,west,32.69646551,-116.936759,440,1710,3072,2048,0,0.065869391,28
sweetwater resevoir,sm,west,32.697116,-116.987745,1600,1300,3072,2048,0,4.817590334,22
microwave tower,sm,west,32.69732847,-116.9373284,2300,1815,3072,2048,0,0.111306919,42
news communication tower san miguel - north,sm,north,32.698001,-116.935086,2735,1495,3072,2048,0,0.165857106,35
news communication tower san miguel - north,sm,east,32.698001,-116.935086,210,1520,3072,2048,0,0.165857106,27
