MNET_SHORTNAME,NWSFIREZONE,ELEV_DEM,TIMEZONE,SGID,SHORTNAME,ELEVATION,STID,WIMS_ID,GACC,MNET_LONGNAME,STATUS,LONGITUDE,COUNTY,STATE,CWA,NWSZONE,ID,MNET_ID,NAME,COUNTRY,RESTRICTED,LATITUDE,PERIOD_OF_RECORD.start,PERIOD_OF_RECORD.end,SENSOR_VARIABLES.wind_speed.wind_speed_1.position,SENSOR_VARIABLES.wind_speed.wind_speed_1.PERIOD_OF_RECORD.start,SENSOR_VARIABLES.wind_speed.wind_speed_1.PERIOD_OF_RECORD.end,SENSOR_VARIABLES.air_temp.air_temp_1.position,SENSOR_VARIABLES.air_temp.air_temp_1.PERIOD_OF_RECORD.start,SENSOR_VARIABLES.air_temp.air_temp_1.PERIOD_OF_RECORD.end,SENSOR_VARIABLES.solar_radiation.solar_radiation_1.position,SENSOR_VARIABLES.solar_radiation.solar_radiation_1.PERIOD_OF_RECORD.start,SENSOR_VARIABLES.solar_radiation.solar_radiation_1.PERIOD_OF_RECORD.end,SENSOR_VARIABLES.wind_gust.wind_gust_1.position,SENSOR_VARIABLES.wind_gust.wind_gust_1.PERIOD_OF_RECORD.start,SENSOR_VARIABLES.wind_gust.wind_gust_1.PERIOD_OF_RECORD.end,SENSOR_VARIABLES.relative_humidity.relative_humidity_1.position,SENSOR_VARIABLES.relative_humidity.relative_humidity_1.PERIOD_OF_RECORD.start,SENSOR_VARIABLES.relative_humidity.relative_humidity_1.PERIOD_OF_RECORD.end,SENSOR_VARIABLES.wind_direction.wind_direction_1.position,SENSOR_VARIABLES.wind_direction.wind_direction_1.PERIOD_OF_RECORD.start,SENSOR_VARIABLES.wind_direction.wind_direction_1.PERIOD_OF_RECORD.end,SENSOR_VARIABLES.volt.volt_1.position,SENSOR_VARIABLES.volt.volt_1.PERIOD_OF_RECORD.start,SENSOR_VARIABLES.volt.volt_1.PERIOD_OF_RECORD.end,SENSOR_VARIABLES.fuel_temp.fuel_temp_1.position,SENSOR_VARIABLES.fuel_temp.fuel_temp_1.PERIOD_OF_RECORD.start,SENSOR_VARIABLES.fuel_temp.fuel_temp_1.PERIOD_OF_RECORD.end,SENSOR_VARIABLES.pressure.pressure_1.position,SENSOR_VARIABLES.pressure.pressure_1.PERIOD_OF_RECORD.start,SENSOR_VARIABLES.pressure.pressure_1.PERIOD_OF_RECORD.end,SENSOR_VARIABLES.precip_accum.precip_accum_1.position,SENSOR_VARIABLES.precip_accum.precip_accum_1.PERIOD_OF_RECORD.start,SENSOR_VARIABLES.precip_accum.precip_accum_1.PERIOD_OF_RECORD.end,SENSOR_VARIABLES.precip_accum_five_minute.precip_accum_five_minute_1.position,SENSOR_VARIABLES.precip_accum_five_minute.precip_accum_five_minute_1.PERIOD_OF_RECORD.start,SENSOR_VARIABLES.precip_accum_five_minute.precip_accum_five_minute_1.PERIOD_OF_RECORD.end,SENSOR_VARIABLES.precip_accum_one_minute.precip_accum_one_minute_1.position,SENSOR_VARIABLES.precip_accum_one_minute.precip_accum_one_minute_1.PERIOD_OF_RECORD.start,SENSOR_VARIABLES.precip_accum_one_minute.precip_accum_one_minute_1.PERIOD_OF_RECORD.end,SENSOR_VARIABLES.fuel_moisture.fuel_moisture_1.position,SENSOR_VARIABLES.fuel_moisture.fuel_moisture_1.PERIOD_OF_RECORD.start,SENSOR_VARIABLES.fuel_moisture.fuel_moisture_1.PERIOD_OF_RECORD.end,SENSOR_VARIABLES.precip_accum_one_hour.precip_accum_one_hour_1.position,SENSOR_VARIABLES.precip_accum_one_hour.precip_accum_one_hour_1.PERIOD_OF_RECORD.start,SENSOR_VARIABLES.precip_accum_one_hour.precip_accum_one_hour_1.PERIOD_OF_RECORD.end,SENSOR_VARIABLES.altimeter.altimeter_1.position,SENSOR_VARIABLES.altimeter.altimeter_1.PERIOD_OF_RECORD.start,SENSOR_VARIABLES.altimeter.altimeter_1.PERIOD_OF_RECORD.end,SENSOR_VARIABLES.precip_accum_ten_minute.precip_accum_ten_minute_1.position,SENSOR_VARIABLES.precip_accum_ten_minute.precip_accum_ten_minute_1.PERIOD_OF_RECORD.start,SENSOR_VARIABLES.precip_accum_ten_minute.precip_accum_ten_minute_1.PERIOD_OF_RECORD.end
HPWREN,SGX258,6223.8,America/Los_Angeles,SC11,HPWREN,6181,HP001,,SOCC,High Performance Wireless Research and Education Network,ACTIVE,-116.4209,San Diego,CA,SGX,CA058,11325,81,Mount Laguna,US,False,32.8922,2004-10-03T00:00:00Z,2022-06-01T09:03:00Z,,2004-10-03T00:00:00Z,2021-03-25T23:43:00Z,,2004-10-03T00:00:00Z,2022-06-01T09:03:00Z,,2004-10-03T00:00:00Z,2012-02-28T11:38:00Z,,2004-10-03T00:00:00Z,2021-03-25T23:43:00Z,,2004-10-03T00:00:00Z,2022-06-01T09:03:00Z,,2004-10-03T00:00:00Z,2021-03-25T23:43:00Z,,2004-10-03T00:00:00Z,2022-06-01T09:03:00Z,,2004-10-03T00:00:00Z,2012-02-28T11:38:00Z,,2004-10-03T00:00:00Z,2022-06-01T09:03:00Z,,2004-10-03T00:00:00Z,2022-06-01T09:03:00Z,,2004-10-03T00:00:00Z,2008-02-18T18:30:00Z,,2004-10-03T00:00:00Z,2012-02-28T11:38:00Z,,,,,,,,,,,,
HPWREN,SGX250,3700.8,America/Los_Angeles,SC08,HPWREN,3645,HP002,,SOCC,High Performance Wireless Research and Education Network,ACTIVE,-116.7646,San Diego,CA,SGX,CA050,11326,81,Lyons Peak,US,False,32.7015,2004-10-03T00:00:00Z,2022-06-01T09:03:00Z,,2004-10-03T00:00:00Z,2022-03-12T21:33:00Z,,2004-10-03T00:00:00Z,2022-06-01T09:03:00Z,,2004-10-03T00:00:00Z,2012-04-14T04:00:00Z,,2004-10-03T00:00:00Z,2022-03-12T21:33:00Z,,2004-10-03T00:00:00Z,2022-06-01T09:03:00Z,,2004-10-03T00:00:00Z,2022-03-12T21:33:00Z,,2004-10-03T00:00:00Z,2022-05-11T05:53:00Z,,2004-10-03T00:00:00Z,2012-04-14T04:00:00Z,,2004-10-03T00:00:00Z,2022-06-01T09:03:00Z,,2004-10-03T00:00:00Z,2022-05-11T05:53:00Z,,2004-10-03T00:00:00Z,2008-02-18T18:30:00Z,,2004-10-03T00:00:00Z,2012-04-14T04:00:00Z,,2004-10-03T00:00:00Z,2012-04-14T04:00:00Z,,,,,,,,,
HPWREN,SGX258,3070.9,America/Los_Angeles,SC08,HPWREN,3032,HP006,,SOCC,High Performance Wireless Research and Education Network,ACTIVE,-116.9834,San Diego,CA,SGX,CA058,25069,81,Pala (3-104971),US,False,33.3504,2008-12-16T00:00:00Z,2022-06-01T09:04:00Z,,2008-12-16T00:00:00Z,2014-03-19T14:46:00Z,,2008-12-16T00:00:00Z,2022-06-01T09:04:00Z,,,,,2008-12-16T00:00:00Z,2014-03-19T14:46:00Z,,2008-12-16T00:00:00Z,2022-06-01T09:04:00Z,,2008-12-16T00:00:00Z,2014-03-19T14:46:00Z,,2008-12-16T00:00:00Z,2022-05-07T03:44:00Z,,,,,2008-12-16T00:00:00Z,2022-06-01T09:04:00Z,,2008-12-16T00:00:00Z,2022-05-07T03:44:00Z,,,,,,,,,,,,,,,,,,
HPWREN,SGX258,4878.6,America/Los_Angeles,SC11,HPWREN,3580,HP009,,SOCC,High Performance Wireless Research and Education Network,ACTIVE,-116.610000,San Diego,CA,SGX,CA058,25072,81,Santa Ysabel,US,False,33.130000,2008-12-16T00:00:00Z,2022-05-05T18:04:00Z,,2008-12-16T00:00:00Z,2021-11-14T20:04:00Z,,2008-12-16T00:00:00Z,2022-05-05T18:04:00Z,,,,,2008-12-16T00:00:00Z,2021-11-14T20:04:00Z,,2008-12-16T00:00:00Z,2022-05-05T18:04:00Z,,2008-12-16T00:00:00Z,2021-11-14T20:04:00Z,,2008-12-16T00:00:00Z,2022-05-03T11:44:00Z,,,,,2008-12-16T00:00:00Z,2022-05-05T18:04:00Z,,2008-12-16T00:00:00Z,2022-05-03T11:44:00Z,,,,,,,,,,,,,,,,,,
HPWREN,SGX258,4235.6,America/Los_Angeles,SC11,HPWREN,4280,HP004,,SOCC,High Performance Wireless Research and Education Network,ACTIVE,-116.761,San Diego,CA,SGX,CA058,26111,81,Mesa Grande,US,False,33.188,2009-07-22T00:00:00Z,2022-06-01T09:03:00Z,,2009-07-22T00:00:00Z,2022-06-01T09:03:00Z,,2009-07-22T00:00:00Z,2022-06-01T09:03:00Z,,,,,2009-07-22T00:00:00Z,2022-06-01T09:03:00Z,,2009-07-22T00:00:00Z,2022-06-01T09:03:00Z,,2009-07-22T00:00:00Z,2022-06-01T09:03:00Z,,2009-07-22T00:00:00Z,2022-05-31T01:53:00Z,,,,,2009-07-22T00:00:00Z,2022-06-01T09:03:00Z,,2009-07-22T00:00:00Z,2022-05-31T01:53:00Z,,,,,,,,,,,2009-07-22T00:00:00Z,2013-08-14T16:52:00Z,,,,,,
HPWREN,SGX250,2851,America/Los_Angeles,SC08,HPWREN,2812,HP005,,SOCC,High Performance Wireless Research and Education Network,ACTIVE,-116.9709,San Diego,CA,SGX,CA050,26112,81,Mt. Woodson,US,False,33.0087,2009-07-22T00:00:00Z,2022-06-01T09:03:00Z,,2009-07-22T00:00:00Z,2022-06-01T09:03:00Z,,2009-07-22T00:00:00Z,2022-06-01T09:03:00Z,,,,,2009-07-22T00:00:00Z,2022-06-01T09:03:00Z,,2009-07-22T00:00:00Z,2022-06-01T09:03:00Z,,2009-07-22T00:00:00Z,2022-06-01T09:03:00Z,,2009-07-22T00:00:00Z,2022-04-13T10:23:00Z,,,,,2009-07-22T00:00:00Z,2022-06-01T09:03:00Z,,2009-07-22T00:00:00Z,2022-04-13T10:23:00Z,,,,,,,,,,,2009-07-22T00:00:00Z,2013-08-14T16:52:00Z,,,,,,
SDGE,SGX250,1801.2,America/Los_Angeles,SC08,SDGE,1802,ANESD,,SOCC,San Diego Gas and Electric,ACTIVE,-116.77333,San Diego,CA,SGX,CA050,28710,139,Alpine,US,False,32.82708,2010-08-10T00:00:00Z,2022-06-01T09:10:00Z,6.1,2010-08-10T00:00:00Z,2022-06-01T09:10:00Z,2,2010-08-10T00:00:00Z,2022-06-01T09:10:00Z,6.1,2010-08-10T00:00:00Z,2019-12-06T18:30:00Z,6.1,2010-08-10T00:00:00Z,2022-06-01T09:10:00Z,2,2010-08-10T00:00:00Z,2022-06-01T09:10:00Z,6.1,2010-08-10T00:00:00Z,2022-06-01T09:10:00Z,,2019-12-07T01:43:00Z,2022-06-01T09:10:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDGE,SGX250,547.9,America/Los_Angeles,SC08,SDGE,544,AMOSD,,SOCC,San Diego Gas and Electric,ACTIVE,-117.27654,San Diego,CA,SGX,CA050,28711,139,Ammo Dump,US,False,33.35714,2010-01-02T00:00:00Z,2022-06-01T09:10:00Z,6.1,2010-01-02T00:00:00Z,2022-06-01T09:10:00Z,2,2010-01-02T00:00:00Z,2022-06-01T09:10:00Z,6.1,2010-01-02T00:00:00Z,2013-03-01T22:20:00Z,6.1,2010-01-02T00:00:00Z,2022-06-01T09:10:00Z,2,2010-01-02T00:00:00Z,2022-06-01T09:10:00Z,6.1,2010-01-02T00:00:00Z,2022-06-01T09:10:00Z,,2019-09-12T14:23:00Z,2022-06-01T09:10:00Z,,,,2,2010-01-02T00:00:00Z,2013-03-01T22:20:00Z,,,,,,,,,,,,,,,,2,2010-01-02T00:00:00Z,2013-03-14T19:10:00Z,,,
SDGE,SGX554,508.5,America/Los_Angeles,SC08,SDGE,486,CAPSD,,SOCC,San Diego Gas and Electric,ACTIVE,-117.54741,Orange,CA,SGX,CA554,28712,139,Bell Canyon,US,False,33.55754,2010-08-10T00:00:00Z,2022-06-01T09:10:00Z,6.1,2010-08-10T00:00:00Z,2022-06-01T09:10:00Z,2,2010-08-10T00:00:00Z,2022-06-01T09:10:00Z,6.1,2010-08-10T00:00:00Z,2013-03-01T22:20:00Z,6.1,2010-08-10T00:00:00Z,2022-06-01T09:10:00Z,2,2010-08-10T00:00:00Z,2022-06-01T09:10:00Z,6.1,2010-08-10T00:00:00Z,2022-06-01T09:10:00Z,,2019-09-12T14:23:00Z,2022-06-01T09:10:00Z,,,,2,2010-08-10T00:00:00Z,2013-03-01T22:20:00Z,,,,,,,,,,,,,,,,2,2010-08-10T00:00:00Z,2013-03-14T19:10:00Z,,,
SDGE,SGX243,442.9,America/Los_Angeles,SC08,SDGE,444,MPESD,,SOCC,San Diego Gas and Electric,ACTIVE,-117.11908,San Diego,CA,SGX,CA043,28714,139,Camp Elliot,US,False,32.85217,2010-01-02T00:00:00Z,2022-06-01T09:10:00Z,6.1,2010-01-02T00:00:00Z,2022-06-01T09:10:00Z,2,2010-01-02T00:00:00Z,2022-06-01T09:10:00Z,,,,6.1,2010-01-02T00:00:00Z,2022-06-01T09:10:00Z,2,2010-01-02T00:00:00Z,2022-06-01T09:10:00Z,6.1,2010-01-02T00:00:00Z,2022-06-01T09:10:00Z,,2019-09-12T14:23:00Z,2022-06-01T09:10:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
