name,cam_lat,cam_long,elev,code,dir,fov_center,fov_lft,fov_rt,num_events,event_dates,x_pixel,y_pixel,incident,incident_dist,incident_latitude,incident_longitude,check
Black Mountain,32.98166822,-117.1164071,1600,bl,s,"[-117.12, 32.52914378468391]","[-116.74311609844423, 32.660630738922485]","[-117.49688390155578, 32.660630738922485]",4,20180603,1229,685,Adobe Fire,14.19530153,32.78031,-117.06782,1
Red Mountain,33.4008,-117.1905,1600,rm,e,"[-116.65303446254079, 33.4008]","[-116.80905606186775, 33.71897645296838]","[-116.81183156739415, 33.081443131239055]",5,20180522,1329,780,Agua Fire,9.711897611,33.35505,-117.03134,1
High Point,33.363018,-116.83622,6180,hp,n,"[-116.84, 33.81079597072698]","[-117.22126369140182, 33.6781794593324]","[-116.4587363085982, 33.678179459332405]",9,20180704,1552,761,Benton Fire,15.0971416,33.56349,-116.732032,1
Big Black Mountain,33.1599,-116.8081,4055,bm,n,"[-116.8081, 33.61071054911843]","[-117.18848493961107, 33.478094173241445]","[-116.42771506038892, 33.478094173241445]",3,20170625,1613,784,Black Fire,2.088121482,33.1683,-116.77342,1
Mesa Grande,33.188869,-116.760651,4280,mg,s,"[-116.761, 32.73715879567527]","[-116.38323866782441, 32.86863685756763]","[-117.13876133217558, 32.86863685756762]",4,20170625,1429,629,Black Fire,1.601568775,33.1683,-116.77342,1
Mt. San Miguel,32.696804,-116.936363,2550,sm,w,"[-117.47322532501433, 32.7]","[-117.31571696748713, 32.38062252484705]","[-117.31839797267894, 33.01822779754]",3,20190825,1057,866,Border 10 Fire,10.28432322,32.557546,-116.873955,0
Lyons Peak,32.7015,-116.7646,3700,lp,s,"[-116.7646, 32.250623763331724]","[-116.38887682424091, 32.382122568778954]","[-117.14032317575908, 32.38212256877896]",15,20200727,2965,1323,Border 11 Fire,5.495289805,32.62212,-116.77048,1
Otay Mountain,32.5948,-116.8447,3565,om,e,"[-116.31209855990625, 32.5948]","[-116.46675020578886, 32.913035450815606]","[-116.4694172863813, 32.27541944575791]",12,20200727,2558,1220,Border 11 Fire,4.714200267,32.62212,-116.77048,1
Lyons Peak,32.7015,-116.7646,3700,lp,s,"[-116.7646, 32.250623763331724]","[-116.38887682424091, 32.382122568778954]","[-117.14032317575908, 32.38212256877896]",15,20190814,1065,1143,Border 9 Fire,8.816839717,32.57394,-116.760465,1
Otay Mountain,32.5948,-116.8447,3565,om,e,"[-116.31209855990625, 32.5948]","[-116.46675020578886, 32.913035450815606]","[-116.4694172863813, 32.27541944575791]",12,20190814,2338,1161,Border 9 Fire,5.111410621,32.57394,-116.760465,1
