name,cam_lat,cam_long,elev,code,dir,fov_center,fov_lft,fov_rt,num_events,event_dates,incident,incident_dist,incident_latitude,incident_longitude,x_pixel,y_pixel,,Miles
Lyons Peak,32.7015,-116.7646,3700,lp,e,"[-116.23136575570216, 32.7015]","[-116.38619562001993, 33.0197276883123]","[-116.38887682424091, 32.382122568778954]",6,20160619,Border Fire,16.36674487,32.60729,-116.63028,,,1,10.16982063
Otay Mountain,32.5948,-116.8447,3565,om,e,"[-116.31209855990625, 32.5948]","[-116.46675020578886, 32.913035450815606]","[-116.4694172863813, 32.27541944575791]",12,20160619,Border Fire,20.13384814,32.60729,-116.63028,,,1,12.51058935
Mesa Grande,33.188,-116.761,4280,mg,s,"[-116.761, 32.73715879567527]","[-116.38323866782441, 32.86863685756763]","[-117.13876133217558, 32.86863685756762]",4,20160718,Feather Fire,25.41148375,32.9612,-116.7945,,,1,15.78995907
Lyons Peak,32.7015,-116.7646,3700,lp,n,"[-116.7646, 33.152343781045175]","[-117.14300437998006, 33.019727688312294]","[-116.38619562001993, 33.0197276883123]",12,20160718,Feather Fire,29.01218085,32.9612,-116.7945,0,0,1,18.02732783
Mesa Grande,33.188,-116.761,4280,mg,s,"[-116.761, 32.73715879567527]","[-116.38323866782441, 32.86863685756763]","[-117.13876133217558, 32.86863685756762]",4,20160722,Rock Fire,27.71502923,33.00056,-116.9571,,,1,17.22131543
Black Mountain,32.98,-117.12,1600,bl,n,"[-117.12, 33.43082361873078]","[-117.49960229720907, 33.298207358327076]","[-116.74039770279094, 33.298207358327076]",3,20161113,Gopher Fire,30.71664365,33.254355,-117.158475,880,765,1,19.08643158
Big Black Mountain,33.1599,-116.8081,4055,bm,n,"[-116.8081, 33.61071054911843]","[-117.18848493961107, 33.478094173241445]","[-116.42771506038892, 33.478094173241445]",3,20161113,Gopher Fire,34.24788611,33.254355,-117.158475,,,1,21.28064324
Big Black Mountain,33.1599,-116.8081,4055,bm,w,"[-117.34409131608477, 33.1599]","[-117.18574226477494, 32.840536030162966]","[-117.18848493961107, 33.478094173241445]",3,20161113,Gopher Fire,34.24788611,33.254355,-117.158475,,,1,21.28064324
Red Mountain,33.4008,-117.1905,1600,rm,w,"[-117.72796553745921, 33.4008]","[-117.56916843260585, 33.081443131239055]","[-117.57194393813225, 33.71897645296838]",16,20170519,Deluz Fire,12.39726394,33.3906,-117.32348,715,850,1,7.703300292
Lyons Peak,32.7015,-116.7646,3700,lp,s,"[-116.7646, 32.250623763331724]","[-116.38887682424091, 32.382122568778954]","[-117.14032317575908, 32.38212256877896]",15,20170520,Gate Fire,6.334058352,32.65597,-116.80527,,,1,3.935800172
Otay Mountain,32.5948,-116.8447,3565,om,s,"[-116.8447, 32.14391611653981]","[-116.4694172863813, 32.27541944575791]","[-117.2199827136187, 32.27541944575792]",13,20170520,Gate Fire,7.73950667,32.65597,-116.80527,,,1,4.809104999
Boucher Hill,33.3346,-116.9198,5500,bh,w,"[-117.45685866220713, 33.3346]","[-117.29818521585511, 33.01524117811554]","[-117.30095166269716, 33.6527813298777]",8,20170613,Douglas Fire,36.67529234,33.23281,-117.29509,,,1,22.78896308
High Point,33.36,-116.84,6180,hp,n,"[-116.84, 33.81079597072698]","[-117.22126369140182, 33.6781794593324]","[-116.4587363085982, 33.678179459332405]",9,20170613,Douglas Fire,44.59856356,33.23281,-117.29509,,,1,27.71225404
Big Black Mountain,33.1599,-116.8081,4055,bm,n,"[-116.8081, 33.61071054911843]","[-117.18848493961107, 33.478094173241445]","[-116.42771506038892, 33.478094173241445]",3,20170625,Black Fire,3.360505779,33.1683,-116.77342,,,1,2.088120836
Mesa Grande,33.188,-116.761,4280,mg,s,"[-116.761, 32.73715879567527]","[-116.38323866782441, 32.86863685756763]","[-117.13876133217558, 32.86863685756762]",4,20170625,Black Fire,2.476807189,33.1683,-116.77342,,,1,1.53901616
