,Unnamed: 0,Unnamed: 0.1,camera_id,camera_name,hpweren_camera_description,cam_lat,cam_long,station,dir,center_lat,center_long,elevation,x_resolution,y_resolution,cl_angle,center_angle
0,0,0,hpwren1_north,bm-n-mobo-c,Big Black Mountain,33.15992729,-116.8080915,bm,n,33.18159879,-116.8075536,4055,3072,2048,-0.0248155218009497,-0.024815521800949737
1,1,1,hpwren1_east,bm-e-mobo-c,Big Black Mountain,33.15992729,-116.8080915,bm,e,33.15878106,-116.7902298,4055,3072,2048,-0.0640846303843916,-0.06408463038439163
2,2,2,hpwren1_south,bm-s-mobo-c,Big Black Mountain,33.15992729,-116.8080915,bm,s,33.15793232,-116.8079616,4055,3072,2048,0.0650219713518134,0.06502197135181349
3,3,3,hpwren1_west,bm-w-mobo-c,Big Black Mountain,33.15992729,-116.8080915,bm,w,33.15909112,-116.8587058,4055,3072,2048,0.0165189272991513,0.01651892729915137
4,4,4,hpwren2_north,bl-n-mobo-c,Black Mountain,32.9814172,-117.1164798,bl,n,32.98178813,-117.1165201,1600,2048,1536,0.1082213562814251,0.10822135628142512
5,5,5,hpwren2_east,bl-e-mobo-c,Black Mountain,32.9814172,-117.1164798,bl,e,32.98199379,-117.1111495,1600,2048,1536,0.1077531703896064,0.10775317038960644
6,6,6,hpwren2_south,bl-s-mobo-c,Black Mountain,32.9814172,-117.1164798,bl,s,32.98104323,-117.1163188,1600,2048,1536,0.4065333019478517,0.4065333019478517
7,7,7,hpwren2_south,bl-w-mobo-c,Black Mountain,32.9814172,-117.1164798,bl,w,32.97973512,-117.1274554,1600,2048,1536,0.152073075451163,0.15207307545116303
8,8,8,na,buff-n-mobo-c,Buffalo Bump,33.42835888,-117.3825282,buff,n,33.43206175,-117.3825107,3000,3072,2048,-0.0047260286504095,-0.004726028650409519
9,9,9,na,buff-e-mobo-c,Buffalo Bump,33.42835888,-117.3825282,buff,e,33.42844559,-117.3761462,3000,3072,2048,0.0135858140278287,0.013585814027828711
10,10,10,na,buff-s-mobo-c,Buffalo Bump,33.42835888,-117.3825282,buff,s,33.40937278,-117.3805376,3000,3072,2048,0.1044634676003625,0.1044634676003625
