camera_id,camera_name,hpweren_camera_description,cam_lat,cam_long,station,dir,c_lat,c_long,elevation,x_resolution,y_resolution,certainty,cl_angle
hpwren1_north,bm-n-mobo-c,Big Black Mountain,33.15992729,-116.8080915,bm,n,33.18159879,-116.8075536,4055,3072,2048,,-0.024815522
hpwren1_east,bm-e-mobo-c,Big Black Mountain,33.15992729,-116.8080915,bm,e,33.15878106,-116.7902298,4055,3072,2048,,-0.06408463
hpwren1_south,bm-s-mobo-c,Big Black Mountain,33.15992729,-116.8080915,bm,s,33.15793232,-116.8079616,4055,3072,2048,,0.065021971
hpwren1_west,bm-w-mobo-c,Big Black Mountain,33.15992729,-116.8080915,bm,w,33.15909112,-116.8587058,4055,3072,2048,,0.016518927
hpwren2_north,bl-n-mobo-c,Black Mountain,32.9814172,-117.1164798,bl,n,32.98178813,-117.1165201,1600,2048,1536,,0.108221356
hpwren2_east,bl-e-mobo-c,Black Mountain,32.9814172,-117.1164798,bl,e,32.98199379,-117.1111495,1600,2048,1536,,0.10775317
hpwren2_south,bl-s-mobo-c,Black Mountain,32.9814172,-117.1164798,bl,s,32.98104323,-117.1163188,1600,2048,1536,,0.406533302
hpwren2_south,bl-w-mobo-c,Black Mountain,32.9814172,-117.1164798,bl,w,32.97973512,-117.1274554,1600,2048,1536,,
na,buff-n-mobo-c,Buffalo Bump,33.42835888,-117.3825282,buff,n,33.43206175,-117.3825107,3000,3072,2048,,
na,buff-e-mobo-c,Buffalo Bump,33.42835888,-117.3825282,buff,e,33.42844559,-117.3761462,3000,3072,2048,,
na,buff-s-mobo-c,Buffalo Bump,33.42835888,-117.3825282,buff,s,33.40937278,-117.3805376,3000,3072,2048,,
na,buff-w-mobo-c,Buffalo Bump,33.42835888,-117.3825282,buff,w,33.42998463,-117.414433,3000,3072,2048,,
na,ch-n-mobo-c,Coronado Hills,33.11062723,-117.1529606,ch,n,33.11705716,-117.1530402,1600,3072,2048,,
na,ch-e-mobo-c,Coronado Hills,33.11062723,-117.1529606,ch,e,33.11049901,-117.1304912,1600,3072,2048,,
na,ch-s-mobo-c,Coronado Hills,33.11062723,-117.1529606,ch,s,33.06667096,-117.1531234,1600,3072,2048,,
na,ch-w-mobo-c,Coronado Hills,33.11062723,-117.1529606,ch,w,33.11058033,-117.1789994,1600,3072,2048,,
hpwren3_north,bh-n-mobo-c,Boucher Hill,33.33462774,-116.9193284,bh,n,33.33515112,-116.9193213,5500,3072,2048,,-0.013564837
hpwren3_east,bh-e-mobo-c,Boucher Hill,33.33462774,-116.9193284,bh,e,33.33462443,-116.9187093,5500,3072,2048,,-0.00534642
hpwren3_south,bh-s-mobo-c,Boucher Hill,33.33462774,-116.9193284,bh,s,33.30063393,-116.9211938,5500,3072,2048,,-0.054819715
hpwren3_west,bh-w-mobo-c,Boucher Hill,33.33462774,-116.9193284,bh,w,33.33463517,-116.9199709,5500,3072,2048,,-0.011563687
hpwren5_north,chino-n-mobo-c,Chino Hills,33.913837,-117.738297,chino,n,33.92261062,-117.7385004,1780,3072,2048,,0.023178981
hpwren5_east,chino-e-mobo-c,Chino Hills,33.913837,-117.738297,chino,e,33.91389763,-117.7362709,1780,3072,2048,,0.029915558
hpwren5_south,chino-s-mobo-c,Chino Hills,33.913837,-117.738297,chino,s,33.85589999,-117.7378456,1780,3072,2048,,0.007791063
hpwren5_west,chino-w-mobo-c,Chino Hills,33.913837,-117.738297,chino,w,33.91387512,-117.7428413,1780,3072,2048,,-0.008388334
hpwren6_north,cp-n-mobo-c,Cuyamaca Peak,32.94646305,-116.6066707,cp,n,33.10150132,-116.5695751,6500,3072,2048,,-0.234852142
hpwren6_east,cp-e-mobo-c,Cuyamaca Peak,32.94646305,-116.6066707,cp,e,32.94564449,-116.5896901,6500,3072,2048,,-0.048168312
hpwren6_south,cp-s-mobo-c,Cuyamaca Peak,32.94646305,-116.6066707,cp,s,32.81059311,-116.5840759,6500,3072,2048,,0.164789242
hpwren6_west,cp-w-mobo-c,Cuyamaca Peak,32.94646305,-116.6066707,cp,w,32.94623208,-116.638032,6500,3072,2048,,0.007364676
hpwren7_north,dwpgm-n-mobo-c,Green Peak,34.08640497,-118.5487598,dwpgm,n,34.09972053,-118.546938,1760,3072,2048,,-0.138884311
hpwren7_east,dwpgm-e-mobo-c,Green Peak,34.08640497,-118.5487598,dwpgm,e,34.05019748,-118.1092179,1760,3072,2048,,
hpwren7_south,dwpgm-s-mobo-c,Green Peak,34.08640497,-118.5487598,dwpgm,s,34.06478884,-118.5513961,1760,3072,2048,,
hpwren7_west,dwpgm-w-mobo-c,Green Peak,34.08640497,-118.5487598,dwpgm,w,34.08785719,-118.5711822,1760,3072,2048,,
hpwren8_north,hp-n-mobo-c,High Point,33.363018,-116.83622,hp,n,33.37379901,-116.8351765,6180,2048,1536,,-0.09648999
hpwren8_east,hp-e-mobo-c,High Point,33.363018,-116.83622,hp,e,33.3635489,-116.8248742,6180,2048,1536,,0.046758539
hpwren8_south,hp-s-mobo-c,High Point,33.363018,-116.83622,hp,s,33.32595408,-116.8370067,6180,2048,1536,,-0.021222307
hpwren8_west,hp-w-mobo-c,High Point,33.363018,-116.83622,hp,w,33.36309629,-116.8375149,6180,2048,1536,,-0.060386759
