hpweren_camera_description,station,dir,cam_lat,cam_long,fov_right,fov_left,intersections,num_intersection
Big Black Mountain,bm,n,33.15992729,-116.8080915,"(-116.53039150000001, 33.43762729)","(-117.0857915, 33.43762729)","[('bl', 'n'), ('bl', 'e'), ('ch', 'n'), ('ch', 'e'), ('bh', 'n'), ('bh', 'e'), ('bh', 's'), ('bh', 'w'), ('cp', 'n'), ('hp', 'n'), ('hp', 'e'), ('hp', 's'), ('hp', 'w'), ('mg', 'n'), ('mg', 'w'), ('wc', 'n'), ('wc', 'e'), ('rm', 'e'), ('rdd', 'n'), ('rdd', 'e'), ('vo', 'n'), ('vo', 'w'), ('sojr', 'n'), ('sojr', 'e'), ('sojr', 's'), ('sojr', 'w'), ('tp', 'w')]",27
Big Black Mountain,bm,e,33.15992729,-116.8080915,"(-116.53039150000001, 32.882227289999996)","(-116.53039150000001, 33.43762729)","[('bh', 'e'), ('bh', 's'), ('cp', 'n'), ('cp', 'e'), ('hp', 'e'), ('hp', 's'), ('pi', 'n'), ('lp', 'n'), ('lp', 'e'), ('mg', 'n'), ('mg', 'e'), ('mg', 's'), ('mg', 'w'), ('ml', 'n'), ('ml', 'w'), ('mlo', 'n'), ('mlo', 'w'), ('wc', 'e'), ('vo', 'n'), ('vo', 'e'), ('vo', 's'), ('vo', 'w'), ('sojr', 'e'), ('sojr', 's'), ('tp', 's'), ('tp', 'w'), ('ws', 'n')]",27
Big Black Mountain,bm,s,33.15992729,-116.8080915,"(-117.0857915, 32.882227289999996)","(-116.53039150000001, 32.882227289999996)","[('bl', 'e'), ('bl', 's'), ('ch', 'e'), ('ch', 's'), ('bh', 's'), ('cp', 'n'), ('cp', 'e'), ('cp', 's'), ('cp', 'w'), ('hp', 's'), ('pi', 'n'), ('pi', 'w'), ('lp', 'n'), ('lp', 'e'), ('lp', 'w'), ('mg', 's'), ('mg', 'w'), ('ml', 'w'), ('mlo', 'w'), ('sm', 'n'), ('sm', 'e'), ('wc', 'e'), ('wc', 's'), ('rdd', 'e'), ('rdd', 's'), ('sdsc', 'e'), ('vo', 's'), ('vo', 'w'), ('sojr', 's'), ('ws', 'n'), ('ws', 'w')]",31
Big Black Mountain,bm,w,33.15992729,-116.8080915,"(-117.0857915, 33.43762729)","(-117.0857915, 32.882227289999996)","[('bl', 'n'), ('bl', 'e'), ('bl', 's'), ('ch', 'n'), ('ch', 'e'), ('ch', 's'), ('bh', 's'), ('bh', 'w'), ('cp', 'n'), ('cp', 'w'), ('hp', 's'), ('hp', 'w'), ('lp', 'n'), ('lp', 'w'), ('mg', 'w'), ('sm', 'n'), ('ms', 'n'), ('wc', 'n'), ('wc', 'e'), ('wc', 's'), ('wc', 'w'), ('rm', 'e'), ('rm', 's'), ('rdd', 'n'), ('rdd', 'e'), ('rdd', 's'), ('sdsc', 'e'), ('vo', 'w'), ('sojr', 's'), ('sojr', 'w')]",30
Black Mountain,bl,n,32.9814172,-117.1164798,"(-116.8387798, 33.259117200000006)","(-117.39417979999999, 33.259117200000006)","[('bm', 'n'), ('bm', 'w'), ('buff', 'e'), ('buff', 's'), ('ch', 'n'), ('ch', 'e'), ('ch', 's'), ('ch', 'w'), ('bh', 'e'), ('bh', 's'), ('bh', 'w'), ('cp', 'n'), ('cp', 'w'), ('hp', 's'), ('hp', 'w'), ('mg', 'w'), ('ms', 'n'), ('wc', 'n'), ('wc', 'w'), ('rm', 'e'), ('rm', 's'), ('rm', 'w'), ('rdd', 'n'), ('rdd', 'e'), ('rdd', 's'), ('rdd', 'w'), ('sclm', 'e'), ('sdsc', 'e'), ('sjh', 'e'), ('sjh', 's'), ('vo', 'w'), ('sojr', 'w'), ('marconi', 'e'), ('marconi', 's')]",34
Black Mountain,bl,e,32.9814172,-117.1164798,"(-116.8387798, 32.7037172)","(-116.8387798, 33.259117200000006)","[('bm', 'n'), ('bm', 's'), ('bm', 'w'), ('ch', 'e'), ('ch', 's'), ('bh', 'e'), ('bh', 's'), ('cp', 'n'), ('cp', 's'), ('cp', 'w'), ('hp', 's'), ('pi', 'n'), ('pi', 'w'), ('lp', 'n'), ('lp', 'w'), ('mg', 's'), ('mg', 'w'), ('sm', 'n'), ('sm', 'e'), ('ms', 'n'), ('wc', 'n'), ('wc', 'e'), ('wc', 's'), ('wc', 'w'), ('om', 'n'), ('rm', 'e'), ('rm', 's'), ('rdd', 'e'), ('rdd', 's'), ('sdsc', 'e'), ('vo', 's'), ('vo', 'w'), ('sojr', 's'), ('sojr', 'w')]",34
Black Mountain,bl,s,32.9814172,-117.1164798,"(-117.39417979999999, 32.7037172)","(-116.8387798, 32.7037172)","[('bm', 's'), ('bm', 'w'), ('ch', 's'), ('cp', 's'), ('cp', 'w'), ('pi', 'w'), ('lp', 'w'), ('sm', 'n'), ('sm', 'e'), ('sm', 'w'), ('ms', 'n'), ('wc', 's'), ('wc', 'w'), ('om', 'n'), ('om', 'w'), ('rdd', 's'), ('sdsc', 'e')]",17
Black Mountain,bl,w,32.9814172,-117.1164798,"(-117.39417979999999, 33.259117200000006)","(-117.39417979999999, 32.7037172)","[('buff', 's'), ('ch', 's'), ('ch', 'w'), ('bh', 's'), ('bh', 'w'), ('sm', 'n'), ('sm', 'w'), ('ms', 'n'), ('wc', 'w'), ('rm', 's'), ('rm', 'w'), ('rdd', 's'), ('rdd', 'w'), ('sclm', 'e'), ('sclm', 's'), ('sdsc', 'e'), ('sjh', 's'), ('marconi', 's')]",18
Buffalo Bump,buff,n,33.42835888,-117.3825282,"(-117.1048282, 33.70605888)","(-117.66022819999999, 33.70605888)","[('chino', 'e'), ('chino', 's'), ('rm', 'n'), ('rm', 'w'), ('sclm', 'n'), ('sclm', 'e'), ('sjh', 'n'), ('sjh', 'e'), ('stgo', 'e'), ('stgo', 's'), ('stgo', 'w'), ('signal', 'e'), ('starr', 'n'), ('starr', 'e'), ('starr', 's'), ('starr', 'w'), ('marconi', 'n'), ('marconi', 'e')]",18
Buffalo Bump,buff,e,33.42835888,-117.3825282,"(-117.1048282, 33.150658879999995)","(-117.1048282, 33.70605888)","[('bl', 'n'), ('ch', 'n'), ('ch', 'e'), ('bh', 'n'), ('bh', 'w'), ('hp', 'n'), ('hp', 'w'), ('wc', 'n'), ('rm', 'n'), ('rm', 'e'), ('rm', 's'), ('rm', 'w'), ('rdd', 'n'), ('sclm', 'e'), ('sjh', 'e'), ('stgo', 'e'), ('stgo', 's'), ('starr', 'e'), ('starr', 's'), ('marconi', 'e')]",20
Buffalo Bump,buff,s,33.42835888,-117.3825282,"(-117.66022819999999, 33.150658879999995)","(-117.1048282, 33.150658879999995)","[('bl', 'n'), ('bl', 'w'), ('ch', 'n'), ('ch', 'e'), ('ch', 'w'), ('bh', 'w'), ('hp', 'w'), ('wc', 'n'), ('wc', 'w'), ('rm', 's'), ('rm', 'w'), ('rdd', 'n'), ('rdd', 'w'), ('sclm', 'e'), ('sclm', 's'), ('sjh', 'e'), ('sjh', 's'), ('starr', 's'), ('marconi', 'e'), ('marconi', 's')]",20
Buffalo Bump,buff,w,33.42835888,-117.3825282,"(-117.66022819999999, 33.70605888)","(-117.66022819999999, 33.150658879999995)","[('ch', 'n'), ('ch', 'w'), ('chino', 's'), ('rm', 'w'), ('sclm', 'n'), ('sclm', 'e'), ('sclm', 's'), ('sclm', 'w'), ('sjh', 'n'), ('sjh', 'e'), ('sjh', 's'), ('sjh', 'w'), ('stgo', 's'), ('stgo', 'w'), ('signal', 'e'), ('signal', 's'), ('starr', 's'), ('starr', 'w'), ('marconi', 'n'), ('marconi', 'e'), ('marconi', 's'), ('marconi', 'w')]",22
Coronado Hills,ch,n,33.11062723,-117.1529606,"(-116.8752606, 33.38832723)","(-117.4306606, 33.38832723)","[('bm', 'n'), ('bm', 'w'), ('bl', 'n'), ('buff', 'e'), ('buff', 's'), ('buff', 'w'), ('bh', 'n'), ('bh', 'w'), ('hp', 'w'), ('mg', 'n'), ('mg', 'w'), ('ms', 'n'), ('wc', 'n'), ('wc', 'w'), ('rm', 'e'), ('rm', 's'), ('rm', 'w'), ('rdd', 'n'), ('rdd', 'w'), ('sclm', 'e'), ('sjh', 'e'), ('vo', 'w'), ('sojr', 'w'), ('starr', 'e'), ('starr', 's'), ('marconi', 'e'), ('marconi', 's')]",27
Coronado Hills,ch,e,33.11062723,-117.1529606,"(-116.8752606, 32.832927229999996)","(-116.8752606, 33.38832723)","[('bm', 'n'), ('bm', 's'), ('bm', 'w'), ('bl', 'n'), ('bl', 'e'), ('buff', 'e'), ('buff', 's'), ('bh', 'n'), ('bh', 'e'), ('bh', 's'), ('bh', 'w'), ('cp', 'n'), ('cp', 'w'), ('hp', 's'), ('hp', 'w'), ('lp', 'n'), ('mg', 'n'), ('mg', 's'), ('mg', 'w'), ('sm', 'n'), ('ms', 'n'), ('wc', 'n'), ('wc', 'e'), ('wc', 's'), ('wc', 'w'), ('om', 'n'), ('rm', 'e'), ('rm', 's'), ('rdd', 'n'), ('rdd', 'e'), ('rdd', 's'), ('rdd', 'w'), ('sdsc', 'e'), ('vo', 's'), ('vo', 'w'), ('sojr', 's'), ('sojr', 'w')]",37
